lat,long,elevation_m,distance_km
56.19104,-3.89242,249.4,7.2
56.19122,-3.89247,248.1,7.221
56.19124,-3.89248,247.9,7.223
56.19127,-3.89249,247.7,7.226
56.19133,-3.89251,247.2,7.233
56.1914,-3.89255,246.6,7.241
56.19146,-3.89257,246.1,7.248
56.19149,-3.89258,245.9,7.251
56.19152,-3.89258,245.7,7.255
56.19156,-3.89258,245.5,7.259
56.19164,-3.89256,245.2,7.268
56.19177,-3.8925,245.7,7.283
56.19179,-3.89249,245.8,7.285
56.19186,-3.89246,246,7.293
56.1919,-3.89246,246.1,7.298
56.19194,-3.89246,246.1,7.302
56.19197,-3.89246,246.2,7.306
56.192,-3.89247,246.2,7.309
56.19201,-3.89247,246.2,7.31
56.19202,-3.89247,246.3,7.311
56.19204,-3.89246,246.3,7.314
56.19206,-3.89244,246.4,7.316
56.19208,-3.89242,246.4,7.319
56.19215,-3.89231,246.5,7.329
56.19216,-3.89229,246.5,7.331
56.19228,-3.89198,246.2,7.354
56.1924,-3.89162,246.3,7.38
56.19248,-3.89126,246.5,7.404
56.19262,-3.89062,247.9,7.447
56.19267,-3.89045,248.2,7.459
56.19271,-3.89036,248.3,7.466
56.19273,-3.89031,248.4,7.47
56.19274,-3.89028,248.4,7.472
56.19277,-3.89024,248.4,7.476
56.1928,-3.89021,248.4,7.48
56.19283,-3.89018,248.4,7.484
56.19287,-3.89017,248.3,7.488
56.19293,-3.89016,248.2,7.495
56.19314,-3.89015,248.7,7.518
56.19316,-3.89015,248.8,7.52
56.19335,-3.89011,249.7,7.542
56.1936,-3.89007,250.9,7.57
56.19364,-3.89007,251.1,7.574
56.19369,-3.89007,251.3,7.58
56.19379,-3.89008,252,7.591
56.19381,-3.89009,252.1,7.593
56.19393,-3.89011,253,7.606
56.19433,-3.8902,255.7,7.651
56.19438,-3.89021,256,7.657
56.19444,-3.89021,256.5,7.664
56.19456,-3.89022,257.6,7.677
56.19468,-3.89023,258.6,7.69
56.1948,-3.89028,259.7,7.704
56.1949,-3.89032,260.5,7.716
56.1951,-3.89042,262.3,7.739
56.19565,-3.89072,267.1,7.803
56.19589,-3.89085,269,7.83
56.19609,-3.89101,270.4,7.855
56.19624,-3.89104,271.5,7.872
56.1969,-3.89147,275,7.95
56.1971,-3.89159,275.9,7.973
56.19712,-3.89161,276,7.976
56.19718,-3.89165,276.2,7.983
56.1972,-3.89166,276.3,7.985
56.19723,-3.89167,276.4,7.989
56.19728,-3.89167,276.7,7.994
56.19735,-3.89162,277,8.003
56.19741,-3.89156,277.2,8.01
56.19745,-3.89149,277.4,8.016
56.19758,-3.89126,278,8.037
56.19798,-3.89047,281.8,8.103
56.19854,-3.8894,287.4,8.194
56.199075,-3.88838,292.8,8.281
56.19961,-3.88736,297.5,8.368
56.19988,-3.88685,300.1,8.411
56.200235,-3.886195,304.4,8.468
56.20059,-3.88554,307.5,8.524
56.20088,-3.88499,309.1,8.571
56.20103,-3.88469,310,8.596
56.20132,-3.88416,311.5,8.642
56.20157,-3.88375,312.7,8.68
56.20183,-3.88336,313.9,8.718
56.20196,-3.88315,314.5,8.737
56.20199,-3.88311,314.5,8.741
56.2021,-3.88299,314.7,8.756
56.20219,-3.88289,314.9,8.767
56.20228,-3.88283,314.9,8.778
56.20246,-3.88277,314.8,8.798
56.20268,-3.88272,314.4,8.823
56.20292,-3.88265,313.2,8.85
56.20343,-3.8825,311.2,8.908
56.20356,-3.88246,311.1,8.922
56.20402,-3.88234,310.8,8.974
56.20411,-3.88233,310.6,8.984
56.20422,-3.88234,310.2,8.996
56.20453,-3.88237,309.3,9.031
